,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.53
1,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
2,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.5
3,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
4,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,SPR,0.6
5,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 1,0.53
6,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 2,0.57
7,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 3,0.6
8,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,SPR,0.5
9,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 1,0.37
10,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 2,0.5
11,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 3,0.63
12,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,SPR,0.6
13,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 1,0.43
14,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 2,0.57
15,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 3,0.63
16,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.6
17,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.53
18,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
19,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.67
20,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HellingerKernel,SPR,0.57
21,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HellingerKernel,BB at level 1,0.5
22,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HellingerKernel,BB at level 2,0.53
23,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HellingerKernel,BB at level 3,0.6
24,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HellingerKernel,SPR,0.57
25,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HellingerKernel,BB at level 1,0.53
26,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HellingerKernel,BB at level 2,0.57
27,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HellingerKernel,BB at level 3,0.6
28,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HellingerKernel,SPR,0.6
29,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 1,0.53
30,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 2,0.57
31,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 3,0.63
32,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.6
33,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.53
34,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
35,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.67
36,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,SPR,0.57
37,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 1,0.5
38,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 2,0.53
39,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 3,0.6
40,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,SPR,0.57
41,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,BB at level 1,0.53
42,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,BB at level 2,0.57
