,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.73
1,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.57
2,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.7
3,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.8
4,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.53
5,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
6,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.5
7,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
8,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,SPR,0.73
9,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 1,0.5
10,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 2,0.67
11,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 3,0.73
12,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.6
13,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.53
14,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
15,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.67
16,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.73
17,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.5
18,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.67
19,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.73
20,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.6
21,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.53
22,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
23,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.67
24,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.81
25,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.63
26,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.78
27,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.88
28,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.6
29,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.53
30,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.58
31,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.65
32,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,SPR,0.78
33,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 1,0.57
34,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 2,0.74
35,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 3,0.82
36,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.63
37,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.57
38,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.61
39,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.7
40,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.78
41,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.57
42,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.74
43,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.82
44,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.63
