,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.73
1,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.57
2,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.7
3,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.8
4,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.43
5,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.4
6,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.43
7,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
8,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,SPR,0.6
9,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 1,0.43
10,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 2,0.6
11,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 3,0.63
12,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,SPR,0.73
13,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 1,0.5
14,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 2,0.67
15,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 3,0.73
16,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.53
17,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.47
18,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.5
19,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.63
20,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,SPR,0.63
21,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 1,0.47
22,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 2,0.57
23,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HellingerKernel,BB at level 3,0.67
24,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.73
25,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.5
26,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.67
27,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.73
28,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.53
29,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.47
30,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.5
31,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.63
32,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,SPR,0.63
33,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 1,0.47
34,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 2,0.57
35,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 3,0.67
36,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.81
37,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.63
38,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.78
39,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor1D_bins_256_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.88
40,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.54
41,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.48
42,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.53
43,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.64
44,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,SPR,0.64
45,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 1,0.52
46,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 2,0.62
