Image,PSNR (Gaussian),SSIM (Gaussian),PSNR (Mean),SSIM (Mean),PSNR (Wiener),SSIM (Wiener),PSNR (Median),SSIM (Median),PSNR (Bilateral),SSIM (Bilateral),PSNR (NLM),SSIM (NLM)
Image 1,"24,956673212222597","0,8987107672485569","24,328736105328332","0,855327886758329","12,44883771212001","0,5991170981366919","24,529262575014105","0,8677717432725255","25,593277196100452","0,9198127376214994","22,551000515343116","0,6991268220159829"
Image 3,"34,43152563584177","0,9711171973107792","32,1988045355138","0,9562468208975415","13,719166863992314","0,7136387153025646","35,7996062443124","0,9663453277315163","39,622803983479294","0,966463022990841","29,151781751530063","0,8494045285853072"
Image 4,"35,619645015677804","0,96560357161923","33,66708001681868","0,9447698615964596","21,810502896227142","0,8470068140764289","35,967437904725095","0,9562401083910754","35,14787435207474","0,9415448476403782","23,877993500732387","0,5122273513889541"
Image 6,"30,015234244276577","0,8200795046260585","29,840377753506115","0,8251907753483195","15,793665437601073","0,577070374778582","31,12301101435129","0,8624915207551785","26,68254831837903","0,7172411665357714","23,532036148891088","0,5421134307722439"
Image 7,"24,550445586689694","0,7355439970056062","23,301795406673804","0,6421255070829537","13,759289407549991","0,2977399097324587","23,604455029390827","0,668061907121376","24,162789694094453","0,7401788921966707","19,899013382816133","0,22227645861590054"
Image 8,"33,90756196334668","0,9710434721926487","31,635292749914747","0,9586296093817716","15,05059347572571","0,748530621312598","38,76010856444164","0,9749229721216093","38,575844264522445","0,9725822184360369","26,468821613831683","0,8560423520953654"
Image 10,"29,31908207748117","0,9113993353413276","27,29671679004827","0,8546218377053308","9,851957006409664","0,20627065152312474","29,362111482687002","0,8907432272389411","31,986571231848128","0,9213576566711358","20,64294503096102","0,4053067745641033"
Image 13,"34,103019840986654","0,9518454961681262","32,0827172721416","0,9293260963774456","17,772367493162868","0,6321906483594802","36,10064765812825","0,9482391133412671","36,431620180643236","0,944770540689226","26,18058350855113","0,6878280439618627"
Image 14,"34,53721926492627","0,9654108305421928","32,436175411445554","0,9488602961496019","13,43068307593084","0,7517779007888153","36,292547672138475","0,9650138719038702","37,75137517057695","0,9676244952025644","28,161775191452918","0,8521025328973897"
Image 15,"35,19867477029922","0,978793278332564","34,103421375473594","0,9731539518870923","29,973183421603583","0,9322350695854337","36,266512372581","0,978863630271185","36,30754662806814","0,9765904153716086","33,33982879546579","0,9406494548971467"
Image 16,"35,102889890042","0,9649905984498129","33,09243930006487","0,9459605315246477","13,828950462960112","0,6536690487803999","35,21525144480367","0,9577809591047947","35,70845796510264","0,9496872624169805","24,140627670798","0,6355295535092029"
Image 17,"29,73316215138972","0,7241492146159167","30,089120947680076","0,741438346811834","11,787981995591245","0,437319513662719","32,10182054668577","0,8039086105176773","25,44568769751394","0,5802154918910523","27,889128336530128","0,6913630808280384"
Image 18,"36,020612976505284","0,9580919579817576","35,00407681125784","0,9397697560090323","18,74205893335865","0,6568851370620563","35,75804227737965","0,9474079024125279","35,26826209531306","0,9312107417250445","28,144265536173574","0,6566305533945445"
Image 19,"31,477292352774494","0,6997337993043947","32,00463624481711","0,7363690817674803","24,723773652944843","0,5742764348881254","34,19735046125497","0,8070328291069373","27,595189666266027","0,58344830421497","33,663245666513866","0,9138600336710757"
Image 20,"37,49841740635835","0,9620226024701143","36,45161803562404","0,9474992843650439","14,831484680434482","0,6883266056687548","37,378350987725064","0,9558970849711247","36,9406006480626","0,9449204087369726","30,721344784941877","0,7839432563947032"
Image 21,"28,67226591027235","0,7613264540607189","28,17200728159642","0,7573484334796537","12,484329897444702","0,4406087613091186","30,14074903119548","0,8175499865375411","25,93937875774451","0,6669774313038271","24,09322860468575","0,5175247020906476"
Image 24,"28,102412655392406","0,6112826918692104","28,275769486582114","0,6341043103634952","9,390158754655756","0,21517341882174942","31,065564163678566","0,7481364092768116","23,648125982976424","0,45582162992150393","26,056621543979208","0,7232545822073813"
Image 26,"39,125559575062425","0,9684420424535286","37,267257597277805","0,9539055210422468","21,080919410018872","0,8346345610084548","39,655350458986284","0,961300464294406","38,671024709533825","0,9453457463095815","27,49702391914113","0,7196651933523066"
Image 27,"20,71423998301035","0,7143073446854545","20,713870869672597","0,7161242324398249","13,278145366402772","0,5032647051937367","20,706764560323506","0,7092885902329752","20,74426516751783","0,7207206024663405","20,827156271917996","0,7126814875672984"
Image 29,"23,95817260625577","0,9218976914732145","21,959589134355504","0,8712433047072086","11,440533800583129","0,34579034414299153","24,145018637698175","0,9239374008867839","30,152864534546737","0,9730970499549508","14,545713078370664","0,12255894582988151"
Image 30,"31,263479785163444","0,7551810850770978","31,640150767386693","0,7798401817495777","24,091897516173837","0,5504834153285795","33,21154101543448","0,834064899174794","27,62610081428118","0,6457222613412298","28,455461534064845","0,7770305982067914"
Average,"31,347980328760713","0,8671891872775387","30,264840661579974","0,8529455060688045","16,156689583851982","0,5812385594982317","32,44673829061599","0,8830951694602344","31,42867662184027","0,8316825201732468","25,70664744698535","0,6581485588974347"
