Image,PSNR (Gaussian),SSIM (Gaussian),PSNR (Mean),SSIM (Mean),PSNR (Wiener),SSIM (Wiener),PSNR (Median),SSIM (Median),PSNR (Bilateral),SSIM (Bilateral),PSNR (NLM),SSIM (NLM)
Image 1,"24,93151547414367","0,8954538015396462","24,308738958243453","0,8522909467642096","12,655930382155823","0,6115819481806639","24,51356665390658","0,8649225857404547","25,587129895297835","0,9173769562102386","22,571275599063306","0,6967420897826968"
Image 2,"36,58277733762723","0,9660856118120559","34,199777306447714","0,9451495844041159","23,999351457065785","0,8395446001037828","39,56499900031284","0,9580856055838999","39,43951905432803","0,9484073928475939","30,843745415880054","0,8227440190367381"
Image 3,"34,10630479053357","0,9634801336546941","32,01321920793899","0,9490251422194311","12,149563609379994","0,5878892032412575","35,5701077715671","0,957941394806857","39,46723746908995","0,9612986248369862","29,013077316190227","0,8429933895927276"
Image 4,"35,58634692913731","0,9647526699757538","33,65068981664358","0,9439526817363362","23,038287701689164","0,8593005681935221","35,92159968771665","0,9552631579740235","35,02383318074603","0,9396603308062402","24,218853162006265","0,5267773985533538"
Image 5,"36,664597417979124","0,9594836638745976","34,48889971293465","0,9361537621329648","11,51118904332117","0,6187051592153491","37,179689521963475","0,9494614735433515","37,80107512456887","0,9454761569327763","27,647976124656182","0,7352901603878262"
Image 6,"30,066353390445798","0,821554526241271","29,877833054244366","0,8264942681313965","15,194126545135065","0,5856194145886099","31,0736151096839","0,8597644044932126","26,640488326666553","0,7148022280145326","23,504117676153946","0,5408489656812846"
Image 7,"24,575708551003864","0,735868795416025","23,31459369057912","0,6418585464634429","13,25422776100703","0,30463373586078607","23,598448476402485","0,6676064676643828","24,1785417653199","0,7444773409044952","19,87687695133889","0,2210562148536227"
Image 8,"33,61299158704464","0,9681860635349159","31,445037691502638","0,955716532877623","14,963107294983155","0,7518984244313973","38,70541056805733","0,9730606599970203","38,27360538784596","0,9706979469840441","28,922930593512497","0,8888542554713128"
Image 9,"37,40183152605689","0,9741137371817848","35,11485875407452","0,9579058694958134","16,81597600591778","0,7309632972536318","40,150572028554706","0,9711035002891131","40,505913571768104","0,9624011411366618","30,49945074667399","0,8475887145664807"
Image 10,"29,143341353674433","0,9053342012729505","27,181987847702036","0,8484203581198729","8,875077646369117","0,20421406888443952","29,351098815521503","0,8887841165482412","32,20278395093723","0,9239274146010393","20,588637553588267","0,4016525445300043"
Image 11,"37,566237299259164","0,9684658437014825","35,30097922528454","0,9476884666359715","20,51342130504375","0,6159720252835151","37,57998043927842","0,9572284208501262","37,27913585301455","0,9421946959537282","24,82337334988776","0,6286757848815591"
Image 12,"33,77869494926859","0,9511105585881551","31,493248881447975","0,9190449140417859","15,421950976137232","0,6672812156655022","35,1625623727561","0,9389889869912267","36,23857113243063","0,9330493137693116","25,10051564127037","0,622605054089311"
Image 13,"34,01005787694959","0,9496026410384014","32,023063610066025","0,9271626748240408","22,816827073130227","0,7417085123923092","36,01589319361366","0,946046166562175","36,4971560546259","0,9442704020514219","26,010717350268106","0,682184277633414"
Image 14,"34,27534376511644","0,962030023306678","32,24107727172223","0,9454042617098595","13,79759091031864","0,7580657072653788","36,349720686900326","0,9638552940834771","37,65116360960261","0,9665356619876978","30,124098664070843","0,877013605508842"
Image 15,"35,07681860181836","0,9757420361760939","34,014519142575594","0,9702985842570494","28,30403922389962","0,9309207951478715","36,12119417468247","0,9754534753920779","36,228718153702985","0,9741695472505979","34,71626121828464","0,9543570695141991"
Image 16,"34,95760817320938","0,9625847318690218","32,987809804252","0,9434690972571484","13,376760385955034","0,673489136187185","35,16921620632353","0,955586873596999","35,77131270538411","0,9488018075450487","24,26313863223513","0,6368223507775104"
Image 17,"29,766561121695627","0,7267593230337347","30,069578201693602","0,7427816944227162","10,433537046959687","0,4470565074598675","32,033504727624646","0,7998962015829093","25,277019855975563","0,5727579475143162","27,648215527133566","0,6835583713032731"
Image 18,"35,921500224958805","0,9559808204808163","34,92249448674304","0,9375907577725893","17,8148607561346","0,6682967053852674","35,67380991381894","0,9452419915494593","35,297490369719604","0,9311359883930197","28,007037200572803","0,6528337476738585"
Image 19,"31,640803126592964","0,7042772015763589","32,16959680854286","0,7410238619494264","25,002166276404502","0,5888631950796389","34,019973639953335","0,8000606633171303","27,497252435413717","0,5757898942423598","33,549549021088396","0,9113004837854057"
Image 20,"37,31762882268217","0,9581898937512884","36,30148120353402","0,9435721462171404","15,997132005490249","0,7105767372234447","37,29261593618848","0,9520628833734053","37,03069688007496","0,943942601509096","30,606386988790906","0,7775601275917948"
Image 21,"28,679543187512966","0,7609288130166986","28,1574084718098","0,756413962261619","11,93845839309449","0,44341044043748995","30,10759583295769","0,8150988364346142","25,830140394897533","0,6642376293478961","24,017975249091577","0,5153722123308739"
Image 22,"40,893439883870506","0,9769053545943688","38,788287419536005","0,9640539612061557","12,31040109553258","0,6664700272075028","40,71723639376704","0,9689905545073412","39,6007454434283","0,9565377497675094","29,033446034201845","0,745285828993343"
Image 23,"28,475083711177863","0,9547113577870903","26,234305117466935","0,9260773560589328","15,208781856942712","0,7313882442211624","32,52055645148512","0,963228524837955","34,97002395043622","0,9623119528817257","19,554320399644837","0,6637548174169696"
Image 24,"27,9668226974271","0,6102432988217076","28,067261543018944","0,6305656601314072","9,492577362135258","0,24935644230092224","30,943725779479013","0,7411007427757393","23,506842562074386","0,4481313097455068","25,60232194402257","0,7008171266184027"
Image 25,"28,98937671005246","0,9403265512302824","26,585077511326883","0,9040366335249904","20,7313961071777","0,8155512995819151","28,962981105900507","0,9407155592380049","35,75493357193119","0,9595246362319205","24,261686435037788","0,7778826763269215"
Image 26,"39,009607132570075","0,9671255871638187","37,19989648093299","0,9526650182964232","22,74097392966464","0,8603582910417935","39,498225897801966","0,9598064837956443","38,615174177980364","0,9443744590909574","28,608983220313068","0,7449654857272022"
Image 27,"20,688285752534657","0,7084326350509368","20,68370067909017","0,711110500320045","20,144687435880883","0,6929786114157367","20,680217772808422","0,7022067129248968","20,714584069947634","0,7153454624658603","20,70807433071206","0,7174432993896804"
Image 28,"27,103338124238256","0,8649412610220689","25,10404221726742","0,7775339741659574","17,65598169346422","0,44976054149631683","25,548616915263835","0,8012957058851556","30,716973054659977","0,9186891219516825","20,962631351700644","0,34126815069565614"
Image 29,"23,95510678236548","0,9208455455872467","21,95930813422691","0,8704030460204318","11,780604037680645","0,38896361665311585","24,134262586763654","0,9225490905719672","30,05481693819678","0,9726451091548286","14,534263656407164","0,12216331326947077"
Image 30,"31,33413128009571","0,7567829929914297","31,70432780943376","0,7814948402987744","24,058675069887407","0,5566067508077984","33,09659773370937","0,8290577431807468","27,62639381370894","0,6438652925377898","28,375023754396697","0,7749987672124851"
Average,"32,135925252701426","0,8910099891763791","30,72010333534276","0,8716453034572557","16,73325534626527","0,6250475074069058","33,241919846492095","0,8974821426030537","33,04264242512581","0,8648945372222294","25,939832036939812","0,6685136767732073"
