Image,PSNR (Gaussian),SSIM (Gaussian),PSNR (Mean),SSIM (Mean),PSNR (Wiener),SSIM (Wiener),PSNR (Median),SSIM (Median),PSNR (Bilateral),SSIM (Bilateral),PSNR (NLM),SSIM (NLM)
Image 1,"24,341976278055117","0,8818728518625619","23,64146053254927","0,8380291476339714","13,718356356139038","0,3071180980112557","24,53229493067214","0,8680407927127969","25,564808506372607","0,9195882594977588","21,94734533333902","0,6864166643300752"
Image 3,"34,00141477953742","0,9637342257253189","31,927724745752112","0,9478990493175156","15,86016549235056","0,6820237673360395","35,559854775239415","0,9633596338503739","39,07828614119988","0,9653905192477006","28,20015931527554","0,8403919844714068"
Image 4,"35,34373324076577","0,9650221482725555","33,46125073033181","0,9441964565990598","24,726032986527695","0,7922178357398462","35,73658021960936","0,9560055947212573","34,771492357410104","0,9393851170033597","24,12275708613329","0,5232963466845811"
Image 6,"28,59741749883576","0,7778291167949022","28,165582256182894","0,7753097570473205","17,070328361425045","0,38891713379327414","31,06449795761278","0,858567574278437","26,90418212445436","0,7220463185544906","22,508297709820173","0,5085478012915905"
Image 7,"24,396104747663493","0,7282364441068414","23,142444271069095","0,6335900070663506","15,150128396842105","0,17905149287073643","23,60086160016514","0,6677510241157187","24,210832983695898","0,7404725885860345","19,685667040472655","0,21976374476866892"
Image 8,"33,790930744896606","0,9686169886276347","31,55216638966916","0,9563388563938598","17,8892218903402","0,5677855739276322","38,84655448964853","0,9744164518102761","38,668970632072835","0,9721014219917241","28,403988154587413","0,8774195900617547"
Image 10,"29,02444113195648","0,9071348164381088","27,05601820067305","0,8498038670217166","11,735857721692916","0,1331216957434683","29,3758658901806","0,8921592238135551","32,14538172831439","0,930593058375814","20,329212275124053","0,39559919992252995"
Image 13,"33,796934170751044","0,9501369378630065","31,888042196195975","0,9276454048979325","17,48996701802437","0,3806982801998238","35,9980085239225","0,9470922558792676","36,358267782770106","0,945075107866821","25,637433123135768","0,6728101194587564"
Image 14,"33,82625021743233","0,9591279809176667","31,867304032426325","0,9418249204669135","15,847768428130562","0,37054212395320496","36,10633472632638","0,9641876297473547","37,44370308841762","0,9677488584046706","28,48670130619567","0,8560921030993519"
Image 15,"34,89469154534932","0,9724535505659677","33,827592809446905","0,965846215231326","23,869058924241443","0,7987078262221545","36,04150814221116","0,9767173019808627","36,017308128406384","0,9747946367078288","32,94280088325176","0,9342510758427455"
Image 16,"34,60934427527676","0,9611198769340527","32,72168516771519","0,9417455907927161","16,12491806298175","0,546609030402193","35,085077074877134","0,9572258594903141","35,6217059540539","0,950505853513591","23,851191600466635","0,6315380915689704"
Image 17,"29,185709407283284","0,6963085803766433","29,22738626347744","0,7042159647674002","13,965432134235957","0,23740653485919885","31,871526572918896","0,7929381906538576","25,519329208134714","0,5756624393183477","26,436819973715874","0,6542679774807848"
Image 18,"35,51303781994026","0,9521305063073618","34,53572526859058","0,9332378674111359","19,65670485327468","0,3920352250394005","35,662543118618366","0,9471611449913334","35,301730459574806","0,934050983831956","27,8555905012086","0,6526664197460764"
Image 19,"31,43280054545432","0,6906547881781507","31,8635542148558","0,7239931223906925","25,244021194124592","0,48479615972982354","34,06597153135019","0,8009869923837177","27,8771357923237","0,5856359962706588","32,75738399302416","0,9005230375469951"
Image 20,"36,84839167172044","0,9594867701693781","35,882095190595145","0,9448536502807939","22,126431069301557","0,7487260805985207","36,84294545696026","0,9539940981274074","36,73447968193966","0,9492263414158252","30,321745297036774","0,7833793449636337"
Image 21,"28,170566581560237","0,7424818269328001","27,552918062968878","0,7334227239341322","15,216959552748197","0,3566880683519534","30,051592481091834","0,8135333506723041","26,05395670416283","0,6715147840491911","23,535638017051213","0,5060840033070649"
Image 24,"23,769291969210656","0,5191047560674302","23,22533933020565","0,5262275560968469","10,684672689831611","0,0589558527672621","30,68294857210799","0,7254066908737794","23,65761906513592","0,4405569411586341","21,01192336975879","0,6077492432204497"
Image 26,"38,81242799377635","0,967467139753289","37,050752958700045","0,9528740414245743","23,20898524856879","0,6015598409855955","39,41016566234116","0,9605665997740244","38,439787021614976","0,9446890696610094","27,78003087893403","0,7272564572713839"
Image 27,"19,866955115151352","0,6410930834494656","19,658199374485378","0,6416735464706987","10,96995072351255","0,079465946896657","20,766290544500997","0,7013656919511934","20,805132052249647","0,7110386001444198","19,838458915770953","0,6609110298196377"
Image 29,"23,878350887399108","0,9178038069860177","21,88370564996542","0,8673582427517165","15,211149284924126","0,49029111626037053","24,150686914809413","0,923588572783923","29,952951557258505","0,9749141039117127","14,423952683114962","0,11935336770365734"
Image 30,"30,086946241616094","0,7059995816446963","30,112723400142073","0,7211149815300456","19,23170940315994","0,27277356458278396","33,132469085178144","0,8279621233585289","27,91899800822415","0,650809719627958","26,854211698429545","0,7347135303718074"
Average,"30,675605564934873","0,8489436084749452","29,535412906952292","0,8319619509298438","17,380848561541796","0,42235672610815217","32,31355134620678","0,8796679427604898","31,383145665608904","0,8317047961495004","25,09196710265938","0,6425252920443774"
