,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.63
1,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.5
2,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.6
3,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.67
4,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,SPR,0.63
5,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 1,0.57
6,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 2,0.57
7,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 3,0.67
8,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.63
9,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.57
10,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.57
11,1,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.67
12,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,SPR,0.68
13,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 1,0.58
14,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 2,0.64
15,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HistogramIntersection,BB at level 3,0.69
16,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,SPR,0.66
17,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 1,0.6
18,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 2,0.62
19,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,HellingerKernel,BB at level 3,0.68
20,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,SPR,0.66
21,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 1,0.6
22,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 2,0.62
23,5,MeanAveragePrecisionAtK,MultiColorSpaceHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV-LAB-YCbCr,Bhattacharyya,BB at level 3,0.68
